corp_name,stock_code
EMB,278990
HLB사이언스,343090
KC산업,112190
SK시그넷,260870
가이아코퍼레이션,296520
광동헬스바이오,086220
길교이앤씨,456700
나눔테크,244880
나라소프트,288490
나우코스,257990
노드메이슨,317860
노보믹스,283100
노브메타파마,229500
대동고려삼,178600
대주이엔티,114920
더콘텐츠온,302920
데이터스트림즈,199150
도부,227420
라피치,403360
럭스피아,092590
로보쓰리에이아이,238500
로지스몬,223220
루켄테크놀러지스,162120
루트락,253610
마이크로엔엑스,448780
머니무브,179720
메디쎄이,200580
메디안디노스틱,233250
메디젠휴먼케어,236340
무진메디,322970
미래엔에듀파트너,208890
미쥬,351020
바스칸바이오제약,354390
바이오인프라생명과학,266470
바이오텐,289170
바이오프로테크,199290
볼빅,206950
블루탑,191600
뿌리깊은나무들,266170
삼미금속,012210
세븐브로이맥주,267080
수프로,185190
썬테크,217320
씨알푸드,236030
씨앗,103660
씨앤에스링크,245450
아이엠지티,456570
아이오바이오,447690
아이케이세미콘,149010
아이티센코어,243870
아퓨어스,149300
아하,102950
안지오랩,251280
애니메디솔루션,390110
엄지하우스,224810
에스알바이오텍,270210
에스제이켐,217910
에이엠시지,495900
에이원알폼,234070
에이펙스인텍,207490
에피바이오텍,446440
엔솔바이오사이언스,140610
엔에스엠,238170
엔에스컴퍼니,224760
엔지브이아이,093510
엘리비젼,276240
엘에이티,311060
오건에코텍,212310
오션스바이오,332190
원포유,122830
위월드,140660
유니포인트,121060
유비씨,495810
유엑스엔,337840
이노벡스,279060
이비테크,208850
이성씨엔아이,379390
이앤에치,341310
이엠티,232530
인바이츠바이오코아,216400
인터로이드,311960
제노텍,066830
제이엠멀티,254160
지슨,289860
지앤이헬스케어,299480
지에이이노더스,076340
지에프씨생명과학,388610
진코스텍,250030
질경이,233990
창대정밀,368030
켈스,402420
코나솔,176590
코셋,189350
코스텍시스템,169670
큐라켐,456190
큐러블,086460
큐엠씨,136660
크로넥스,215570
타스컴,336040
타이드,346010
타임기술,318660
타조엔터테인먼트,476710
탈로스,434190
탑선,180060
태양3C,052960
태양기계,116100
테크엔,308700
테크트랜스,258050
티엘엔지니어링,413300
틸론,217880
파마리서치바이오,217950
파워풀엑스,266870
판도라티비,202960
팡스카이,266350
펨토바이오메드,327610
퓨쳐메디신,341170
프로젠,296160
플럼라인생명과학,222670
한국미라클피플사,331660
