corp_name,stock_code
AJ네트웍스,095570
AK홀딩스,006840
BGF,027410
BGF리테일,282330
BNK금융지주,138930
BYC,001460
CJ,001040
CJ CGV,079160
CJ대한통운,000120
CJ씨푸드,011150
CJ제일제당,097950
CS홀딩스,000590
DB,012030
DB손해보험,005830
DB증권,016610
DB하이텍,000990
DH오토넥스,000300
DKME,015590
DL,000210
DL이앤씨,375500
DN오토모티브,007340
DRB동일,004840
DSR,155660
DSR제강,069730
DS단석,017860
DYP,092780
E1,017940
ESR켄달스퀘어리츠,365550
F&F,383220
F&F 홀딩스,007700
GKL,114090
GS,078930
GS건설,006360
GS글로벌,001250
GS리테일,007070
GS피앤엘,499790
HDC,012630
HDC랩스,039570
HDC현대EP,089470
HDC현대산업개발,294870
HD한국조선해양,009540
HD현대,267250
HD현대건설기계,267270
HD현대마린솔루션,443060
HD현대마린엔진,071970
HD현대미포,010620
HD현대에너지솔루션,322000
HD현대인프라코어,042670
HD현대일렉트릭,267260
HD현대중공업,329180
HJ중공업,097230
HL D&I,014790
HLB글로벌,003580
HL만도,204320
HL홀딩스,060980
HMM,011200
HS애드,035000
HS화성,002460
HS효성,487570
HS효성첨단소재,298050
INVENI,015360
JB금융지주,175330
JW생명과학,234080
JW중외제약,001060
JW홀딩스,096760
KB금융,105560
KB발해인프라,415640
KB스타리츠,432320
KC그린홀딩스,009440
KC코트렐,119650
KEC,092220
KG모빌리티,003620
KG스틸,016380
KG케미칼,001390
KH 필룩스,033180
KISCO홀딩스,001940
KPX케미칼,025000
KPX홀딩스,092230
KR모터스,000040
KSS해운,044450
KTcs,058850
KTis,058860
LF,093050
LG,003550
LG디스플레이,034220
LG생활건강,051900
LG씨엔에스,064400
LG에너지솔루션,373220
LG유플러스,032640
LG이노텍,011070
LG전자,066570
LG헬로비전,037560
LG화학,051910
LIG넥스원,079550
LS,006260
LS네트웍스,000680
LS에코에너지,229640
LX세미콘,108320
LX인터내셔널,001120
LX하우시스,108670
LX홀딩스,383800
MH에탄올,023150
NAVER,035420
NH올원리츠,400760
NH투자증권,005940
NH프라임리츠,338100
NICE,034310
NICE평가정보,030190
NI스틸,008260
OCI,456040
OCI홀딩스,010060
PI첨단소재,178920
PKC,001340
POSCO홀딩스,005490
S-Oil,010950
SBS,034120
SB성보,003080
SGC에너지,005090
SG글로벌,001380
SG세계물산,004060
SHD,001770
SH에너지화학,002360
SIMPAC,009160
SJG세종,033530
SK,034730
SKC,011790
SK가스,018670
SK네트웍스,001740
SK디스커버리,006120
SK디앤디,210980
SK리츠,395400
SK바이오사이언스,302440
SK스퀘어,402340
SK아이이테크놀로지,361610
SK오션플랜트,100090
SK이노베이션,096770
SK이터닉스,475150
SK증권,001510
SK케미칼,285130
SK텔레콤,017670
SK하이닉스,000660
SNT다이내믹스,003570
SNT모티브,064960
SNT에너지,100840
SNT홀딩스,036530
SPC삼립,005610
STX,011810
STX그린로지스,465770
STX엔진,077970
SUN&L,002820
TCC스틸,002710
TP,007980
TYM,002900
WISCOM,024070
YG PLUS,037270
iM금융지주,139130
가온전선,000500
강남제비스코,000860
강원랜드,035250
갤럭시아에스엠,011420
경농,002100
경동나비엔,009450
경동도시가스,267290
경동인베스트,012320
경방,000050
경보제약,214390
경인양행,012610
경인전자,009140
계룡건설산업,013580
계양전기,012200
고려산업,002140
고려아연,010130
고려제강,002240
광동제약,009290
광명전기,017040
광전자,017900
광주신세계,037710
교보증권,030610
교촌에프앤비,339770
국도화학,007690
국보,001140
국제약품,002720
그린케미칼,083420
극동유화,014530
금강공업,014280
금비,008870
금양,001570
금호건설,002990
금호석유화학,011780
금호에이치티,214330
금호전기,001210
금호타이어,073240
기신정기,092440
기아,000270
기업은행,024110
까뮤이앤씨,013700
깨끗한나라,004540
남광토건,001260
남선알미늄,008350
남성,004270
남양유업,003920
남해화학,025860
넥센,005720
넥센타이어,002350
넥스틸,092790
넷마블,251270
노루페인트,090350
노루홀딩스,000320
녹십자,006280
녹십자홀딩스,005250
농심,004370
농심홀딩스,072710
다스코,058730
다올투자증권,030210
다우기술,023590
다이나믹디자인,145210
달바글로벌,483650
대교,019680
대구백화점,006370
대덕,008060
대덕전자,353200
대동,000490
대동전자,008110
대림바스,005750
대림통상,006570
대상,001680
대상홀딩스,084690
대성산업,128820
대성에너지,117580
대성홀딩스,016710
대신증권,003540
대양금속,009190
대영포장,014160
대우건설,047040
대웅,003090
대웅제약,069620
대원강업,000430
대원전선,006340
대원제약,003220
대원화성,024890
대유에이텍,002880
대창,012800
대창단조,015230
대한방직,001070
대한유화,006650
대한전선,001440
대한제강,084010
대한제당,001790
대한제분,001130
대한항공,003490
대한해운,005880
대한화섬,003830
대현,016090
대호에이엘,069460
더본코리아,475560
더블유게임즈,192080
더존비즈온,012510
덕성,004830
덴티움,145720
도화엔지니어링,002150
동국씨엠,460850
동국제강,460860
동국홀딩스,001230
동남합성,023450
동방,004140
동방아그로,007590
동부건설,005960
동서,026960
동성제약,002210
동성케미컬,102260
동아쏘시오홀딩스,000640
동아에스티,170900
동아지질,028100
동양,001520
동양고속,084670
동양생명,082640
동양철관,008970
동원F&B,049770
동원금속,018500
동원산업,006040
동원수산,030720
동원시스템즈,014820
동인기연,111380
동일고무벨트,163560
동일산업,004890
동일제강,002690
동화약품,000020
두산,000150
두산로보틱스,454910
두산밥캣,241560
두산에너빌리티,034020
두산퓨얼셀,336260
두올,016740
드림텍,192650
디씨엠,024090
디아이,003160
디아이동일,001530
디아이씨,092200
디앤디플랫폼리츠,377190
디와이,013570
디와이덕양,024900
디와이파워,210540
롯데관광개발,032350
롯데렌탈,089860
롯데리츠,330590
롯데손해보험,000400
롯데쇼핑,023530
롯데에너지머티리얼즈,020150
롯데웰푸드,280360
롯데이노베이트,286940
롯데정밀화학,004000
롯데지주,004990
롯데칠성음료,005300
롯데케미칼,011170
롯데하이마트,071840
마니커,027740
마스턴프리미어리츠,357430
만호제강,001080
맥쿼리인프라,088980
맵스리얼티1,094800
메리츠금융지주,138040
메타랩스,090370
메타케어,118000
명문제약,017180
명신산업,009900
모나리자,012690
모나미,005360
모나용평,070960
모토닉,009680
무림P&P,009580
무림페이퍼,009200
무학,033920
문배철강,008420
미래산업,025560
미래아이앤지,007120
미래에셋글로벌리츠,396690
미래에셋맵스리츠,357250
미래에셋생명,085620
미래에셋증권,006800
미스토홀딩스,081660
미원상사,002840
미원에스씨,268280
미원홀딩스,107590
미원화학,134380
미창석유공업,003650
바이오노트,377740
방림,003610
백산,035150
범양건영,002410
벽산,007210
보락,002760
보령,003850
보해양조,000890
부광약품,003000
부국증권,001270
부국철강,026940
