corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
농우바이오,054050,코스닥시장,"농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업
아시아종묘,154030,코스닥시장,"농업, 임업 및 어업",농업,작물 재배업,,
3S,060310,코스닥시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",,
AP시스템,265520,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업
AP위성,211270,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,,
BGF에코머티리얼즈,126600,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱 물질 제조업,합성수지 및 기타 플라스틱 물질 제조업
CBI,013720,코스닥시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
CMG제약,058820,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
CS,065770,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,방송 및 무선 통신장비 제조업,
CSA 코스믹,083660,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,,
DGI,099520,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",영상 및 음향기기 제조업,"텔레비전, 비디오 및 기타 영상기기 제조업",비디오 및 기타 영상기기 제조업
DH오토리드,290120,코스닥시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차용 기타 신품 부품 제조업,그 외 자동차용 신품 부품 제조업
DH오토웨어,025440,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",영상 및 음향기기 제조업,,
DMS,068790,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,
EG,037370,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,,
