corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
네버에버제일차,,기타법인,"농업, 임업 및 어업",농업,작물 재배업,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업
프리젠,060910,기타법인,"농업, 임업 및 어업",농업,축산업,기타 축산업,그 외 기타 축산업
삼성수산,052560,기타법인,"농업, 임업 및 어업",어업,어로 어업,해수면 어업,연근해 어업
씨앤케이인터내셔널,039530,기타법인,광업,금속 광업,비철금속 광업,비철금속 광업,비철금속 광업
영풍산업,002850,기타법인,광업,금속 광업,비철금속 광업,비철금속 광업,비철금속 광업
고제,002540,기타법인,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,인삼식품 제조업
기린,006070,기타법인,제조업,식료품 제조업,"떡, 빵 및 과자류 제조업","떡, 빵 및 과자류 제조업",빵류 제조업
남산물산,036280,기타법인,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,그 외 기타 식료품 제조업
네오퍼플,028090,기타법인,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,
휴럼,284420,기타법인,제조업,식료품 제조업,기타 식품 제조업,,
정다운,224090,기타법인,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",도축업,
명진홀딩스,267060,기타법인,제조업,식료품 제조업,수산물 가공 및 저장 처리업,,
동원데어리푸드,003900,기타법인,제조업,식료품 제조업,동·식물성 유지 및 낙농제품 제조업,낙농제품 및 식용빙과류 제조업,액상시유 및 기타 낙농제품 제조업
롯데푸드,002270,기타법인,제조업,식료품 제조업,동·식물성 유지 및 낙농제품 제조업,낙농제품 및 식용빙과류 제조업,아이스크림 및 기타 식용빙과류 제조업
신동방CP,004660,기타법인,제조업,식료품 제조업,"곡물가공품, 전분 및 전분제품 제조업",전분제품 및 당류 제조업,전분제품 및 당류 제조업
사조해표,079660,기타법인,제조업,식료품 제조업,기타 식품 제조업,,
삼양제넥스,003940,기타법인,제조업,식료품 제조업,기타 식품 제조업,,
에스트라,016570,기타법인,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,건강기능식품 제조업
행남사,008800,기타법인,제조업,식료품 제조업,기타 식품 제조업,,
코썬바이오,204990,기타법인,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,건강기능식품 제조업
미래자원엠엘,233190,기타법인,제조업,식료품 제조업,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,
비엔디,047940,기타법인,제조업,식료품 제조업,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,
선진지주,014300,기타법인,제조업,식료품 제조업,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,
세븐코스프,017160,기타법인,제조업,식료품 제조업,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,
에스와이,004530,기타법인,제조업,식료품 제조업,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,
하이트맥주,103150,기타법인,제조업,음료 제조업,,,
경남모직,001670,기타법인,제조업,섬유제품 제조업; 의복제외,직물직조 및 직물제품 제조업,직물 직조업,모직물 직조업
구스앤홈,329050,기타법인,제조업,섬유제품 제조업; 의복제외,직물직조 및 직물제품 제조업,직물제품 제조업,침구 및 관련제품 제조업
금강화섬,010730,기타법인,제조업,섬유제품 제조업; 의복제외,방적 및 가공사 제조업,방적 및 가공사 제조업,화학섬유 방적업
남양,003020,기타법인,제조업,섬유제품 제조업; 의복제외,기타 섬유제품 제조업,"끈, 로프, 망 및 끈 가공품 제조업",어망 및 기타 끈 가공품 제조업
대원모방,311840,기타법인,제조업,섬유제품 제조업; 의복제외,직물직조 및 직물제품 제조업,직물 직조업,모직물 직조업
마이크로닉스,001190,기타법인,제조업,섬유제품 제조업; 의복제외,방적 및 가공사 제조업,방적 및 가공사 제조업,기타 방적업
부산방직공업,025270,기타법인,제조업,섬유제품 제조업; 의복제외,방적 및 가공사 제조업,,
셀텍,019260,기타법인,제조업,섬유제품 제조업; 의복제외,방적 및 가공사 제조업,방적 및 가공사 제조업,면 방적업
에스마크,030270,기타법인,제조업,섬유제품 제조업; 의복제외,방적 및 가공사 제조업,방적 및 가공사 제조업,면 방적업
범양사,002480,기타법인,제조업,섬유제품 제조업; 의복제외,직물직조 및 직물제품 제조업,직물 직조업,화학섬유직물 직조업
한국합섬,025830,기타법인,제조업,섬유제품 제조업; 의복제외,직물직조 및 직물제품 제조업,직물 직조업,화학섬유직물 직조업
일화모직공업,001590,기타법인,제조업,섬유제품 제조업; 의복제외,직물직조 및 직물제품 제조업,직물 직조업,모직물 직조업
지니웍스,036600,기타법인,제조업,섬유제품 제조업; 의복제외,직물직조 및 직물제품 제조업,직물 직조업,특수 직물 및 기타 직물 직조업
태창기업,007490,기타법인,제조업,섬유제품 제조업; 의복제외,"섬유제품 염색, 정리 및 마무리 가공업","섬유제품 염색, 정리 및 마무리 가공업",솜 및 실 염색가공업
호성,035870,기타법인,제조업,섬유제품 제조업; 의복제외,기타 섬유제품 제조업,그 외 기타 섬유제품 제조업,부직포 및 펠트 제조업
FnC코오롱,001370,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,
광덕물산,003590,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,남자용 겉옷 제조업
데코,013650,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,여자용 겉옷 제조업
데코앤에프,017680,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,,
동산진흥,031960,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,남자용 겉옷 제조업
디피앤케이,189700,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,,
룩소네이트,033880,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,속옷 및 잠옷 제조업,속옷 및 잠옷 제조업
화림모드,045920,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,여자용 겉옷 제조업
부흥,003930,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,남자용 겉옷 제조업
에스엠비나,299670,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,여자용 겉옷 제조업
오브제,058680,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,여자용 겉옷 제조업
캠브리지코오롱,004620,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,남자용 겉옷 제조업
패션플랫폼,256090,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,여자용 겉옷 제조업
우수씨엔에스,060550,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,속옷 및 잠옷 제조업,속옷 및 잠옷 제조업
케이비물산,008540,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,속옷 및 잠옷 제조업,속옷 및 잠옷 제조업
아이텍스필,008030,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,
위너스인프라인,005760,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,
엠에프엠코리아,251960,기타법인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",편조의복 제조업,,
극동제혁,010200,기타법인,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사제품 제조업",모피 및 가죽 제조업,모피 및 가죽 제조업
더스텔라,065310,기타법인,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사제품 제조업","핸드백, 가방 및 기타 보호용 케이스 제조업",가방 및 기타 보호용 케이스 제조업
쌈지,033260,기타법인,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사제품 제조업","핸드백, 가방 및 기타 보호용 케이스 제조업",핸드백 및 지갑 제조업
유에이블,071530,기타법인,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사제품 제조업","핸드백, 가방 및 기타 보호용 케이스 제조업",가방 및 기타 보호용 케이스 제조업
주노콜렉션,221670,기타법인,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사제품 제조업","핸드백, 가방 및 기타 보호용 케이스 제조업",핸드백 및 지갑 제조업
나이코,192240,기타법인,제조업,"펄프, 종이 및 종이제품 제조업",기타 종이 및 판지 제품 제조업,,
