corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
광동헬스바이오,086220,코넥스시장,제조업,식료품 제조업,기타 식품 제조업,,
대동고려삼,178600,코넥스시장,제조업,식료품 제조업,기타 식품 제조업,,
바이오텐,289170,코넥스시장,제조업,식료품 제조업,기타 식품 제조업,,
씨알푸드,236030,코넥스시장,제조업,식료품 제조업,"곡물가공품, 전분 및 전분제품 제조업",,
세븐브로이맥주,267080,코넥스시장,제조업,음료 제조업,알코올음료 제조업,발효주 제조업,맥아 및 맥주 제조업
도부,227420,코넥스시장,제조업,섬유제품 제조업; 의복제외,직물직조 및 직물제품 제조업,,
이앤에치,341310,코넥스시장,제조업,섬유제품 제조업; 의복제외,기타 섬유제품 제조업,그 외 기타 섬유제품 제조업,부직포 및 펠트 제조업
지앤이헬스케어,299480,코넥스시장,제조업,섬유제품 제조업; 의복제외,기타 섬유제품 제조업,그 외 기타 섬유제품 제조업,그 외 기타 분류 안된 섬유제품 제조업
미쥬,351020,코넥스시장,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,,
제이엠멀티,254160,코넥스시장,제조업,목재 및 나무제품 제조업; 가구 제외,제재 및 목재 가공업,제재 및 목재 가공업,일반 제재업
나우코스,257990,코넥스시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",화장품 제조업
노드메이슨,317860,코넥스시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",화장품 제조업
씨앗,103660,코넥스시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,,
에스알바이오텍,270210,코넥스시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",화장품 제조업
에스제이켐,217910,코넥스시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,,
엔에스엠,238170,코넥스시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,합성고무 및 플라스틱 물질 제조업,,
제노텍,066830,코넥스시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,,
지에프씨생명과학,388610,코넥스시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,그 외 기타 화학제품 제조업,바이오 연료 및 혼합물 제조업
진코스텍,250030,코넥스시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",화장품 제조업
질경이,233990,코넥스시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",화장품 제조업
파워풀엑스,266870,코넥스시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,,
한국미라클피플사,331660,코넥스시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업","치약, 비누 및 기타 세제 제조업"
HLB사이언스,343090,코넥스시장,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,,
메디안디노스틱,233250,코넥스시장,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,,
바스칸바이오제약,354390,코넥스시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
아이엠지티,456570,코넥스시장,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,,
큐라켐,456190,코넥스시장,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,,
파마리서치바이오,217950,코넥스시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
KC산업,112190,코넥스시장,제조업,비금속 광물제품 제조업,"시멘트, 석회, 플라스터 및 그 제품 제조업","콘크리트, 레미콘 및 기타 시멘트, 플라스터 제품 제조업",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
대주이엔티,114920,코넥스시장,제조업,1차 금속 제조업,1차 철강 제조업,철강관 제조업,
삼미금속,012210,코넥스시장,제조업,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,"금속 단조, 압형 및 분말야금 제품 제조업",금속 단조제품 제조업
코나솔,176590,코넥스시장,제조업,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,,
테크트랜스,258050,코넥스시장,제조업,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,"금속 열처리, 도금 및 기타 금속가공업",도장 및 기타 피막처리업
럭스피아,092590,코넥스시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,전자집적회로 제조업,
블루탑,191600,코넥스시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,인쇄회로기판 및 전자부품 실장기판 제조업,
씨앤에스링크,245450,코넥스시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,,
아이케이세미콘,149010,코넥스시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,전자집적회로 제조업,
아하,102950,코넥스시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,,
엘리비젼,276240,코넥스시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",영상 및 음향기기 제조업,"텔레비전, 비디오 및 기타 영상기기 제조업",비디오 및 기타 영상기기 제조업
