corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
동원수산,030720,유가증권시장,"농업, 임업 및 어업",어업,어로 어업,해수면 어업,원양 어업
신라교역,004970,유가증권시장,"농업, 임업 및 어업",어업,어로 어업,해수면 어업,원양 어업
BYC,001460,유가증권시장,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,속옷 및 잠옷 제조업,속옷 및 잠옷 제조업
CJ씨푸드,011150,유가증권시장,제조업,식료품 제조업,기타 식품 제조업,,
CJ제일제당,097950,유가증권시장,제조업,식료품 제조업,기타 식품 제조업,,
DB하이텍,000990,유가증권시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,전자집적회로 제조업,
DH오토넥스,000300,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
DKME,015590,유가증권시장,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,"냉각, 공기조화, 여과, 증류 및 가스발생기 제조업",액체 여과기 제조업
DL,000210,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 유기 화학물질 제조업,석유화학계 기초 화학물질 제조업
DN오토모티브,007340,유가증권시장,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,운송장비용 이차전지 제조업
DRB동일,004840,유가증권시장,제조업,고무 및 플라스틱제품 제조업,고무제품 제조업,,
DSR,155660,유가증권시장,제조업,1차 금속 제조업,1차 비철금속 제조업,,
DSR제강,069730,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,"철강 압연, 압출 및 연신제품 제조업",철강선 제조업
DS단석,017860,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,,
DYP,092780,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차용 엔진 및 자동차 제조업,,
F&F,383220,유가증권시장,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,남자용 겉옷 제조업
HDC현대EP,089470,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,,
HD현대건설기계,267270,유가증권시장,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,,
HD현대마린엔진,071970,유가증권시장,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,내연기관 및 터빈 제조업; 항공기용 및 차량용 제외,기타 기관 및 터빈 제조업
HD현대미포,010620,유가증권시장,제조업,기타 운송장비 제조업,선박 및 보트 건조업,선박 및 수상 부유 구조물 건조업,
HD현대에너지솔루션,322000,유가증권시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",
HD현대인프라코어,042670,유가증권시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,건설 및 광업용 기계장비 제조업,건설 및 채광용 기계장비 제조업
