account_name,ancestors,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
자산,,0,0,0,0,0,0,0,0,0,0,0,0
유동자산,자산,"92,103,185,493","70,799,227,485","62,186,943,491","107,552,178,363","93,705,692,896","96,195,513,726","116,242,537,636","137,393,629,177","159,431,405,325","89,957,541,523","57,086,818,788","57,584,837,574"
기타유동금융자산,"자산,유동자산","2,793,509,981","2,480,282,269","2,496,612,727","2,188,183,872","2,291,662,356","2,118,429,840","2,054,151,756","2,067,463,722","16,536,205,829",0,"2,067,340,000","31,260,000"
기타유동자산,"자산,유동자산","2,464,659,283","3,769,172,509","872,229,094","804,908,753","640,260,476","1,000,322,193","1,496,069,793","2,826,028,779","2,136,770,351","1,089,819,487","795,514,726","705,812,274"
당기법인세자산,"자산,유동자산",0,"70,339,230","107,124,040","14,598,620","585,214","108,928,505","57,331,570",0,"12,197,530","133,759,876",0,"220,563,598"
매각예정비유동자산,"자산,유동자산",0,0,0,0,0,0,0,"18,987,335,454","36,642,251,506",0,0,
매출채권및기타유동채권,"자산,유동자산","45,684,654,590","36,628,306,313","19,574,423,407","32,237,782,491","37,572,412,409","40,513,859,818","42,937,450,681","45,986,743,374","50,137,464,885","40,841,865,345","17,791,535,973","17,384,722,193"
미수법인세,"자산,유동자산",0,0,0,0,0,0,0,0,0,,,
유동계약자산,"자산,유동자산",0,0,0,"149,408,780","103,443,841",0,0,,,,,
유동재고자산,"자산,유동자산","21,555,241,078","17,006,844,236","12,103,198,198","31,926,329,335","38,696,175,395","45,563,759,596","59,983,232,780","59,968,005,109","45,875,109,486","29,816,590,543","11,110,134,991","17,835,388,344"
파생상품자산,"자산,유동자산",0,0,0,0,0,0,"2,010,000",0,,,,
현금및현금성자산,"자산,유동자산","19,605,120,561","10,844,282,928","27,033,356,025","40,230,966,512","14,401,153,205","6,890,213,774","9,712,291,056","7,558,052,739","8,091,405,738","18,075,506,272","25,322,293,098","21,407,091,165"
매각예정으로분류된비유동자산이나처분자산집단,"자산,유동자산,매각예정또는소유주에대한분배예정으로분류된비유동자산이나처분자산집단",0,0,0,0,0,0,0,0,0,0,0,
소유주에대한분배예정으로분류된비유동자산이나처분자산집단,"자산,유동자산,매각예정또는소유주에대한분배예정으로분류된비유동자산이나처분자산집단",0,0,0,0,0,0,0,0,0,0,0,
비유동자산,자산,"51,080,603,074","54,327,160,611","47,038,689,533","22,892,975,649","20,638,475,397","22,384,389,319","22,526,943,408","28,606,398,282","48,179,396,832","98,061,916,302","17,405,016,630","18,647,679,235"
관계기업에대한투자자산,"자산,비유동자산","14,620,416,620","13,782,218,755","13,486,367,723","4,293,245,478","2,479,856,342","3,046,053,331","1,239,969,902","308,516,513","708,087,115","1,124,196,423","1,066,021,023","970,562,657"
기타비유동금융자산,"자산,비유동자산","1,976,871,000","4,045,190,000","866,320,487","587,420,687","308,292,867","2,138,236,256","1,058,684,004","215,000,000","213,000,000","813,145,436","305,500,000","472,840,000"
기타비유동자산,"자산,비유동자산",0,0,"70,806","498,409","1,367,584","24,615,301","55,712,802","381,129,705","65,703,203","84,467,604","45,881,672","44,095,742"
사용권자산,"자산,비유동자산","10,915,306,547","12,507,059,143","13,658,788,528","882,582,040","1,284,970,291",0,0,,,,,
영업권이외의무형자산,"자산,비유동자산","129,539,685","96,050,845","83,191,338","262,822,344","538,255,591","905,194,697","2,318,363,982","2,541,545,398","2,780,494,259","2,459,437,709","685,744,804","578,993,072"
유형자산,"자산,비유동자산","1,161,052,910","1,318,247,683","1,293,787,607","5,356,220,547","5,586,159,811","6,239,883,606","9,039,434,586","11,895,976,009","9,106,682,749","43,740,327,926","12,668,692,045","15,541,036,588"
이연법인세자산,"자산,비유동자산","5,813,719,377","6,206,931,575","4,149,653,000","4,417,993,812","3,256,615,381","2,936,040,848","1,642,702,229","2,157,020,320","2,016,982,406","1,132,891,687",0,0
장기매출채권및기타비유동채권,"자산,비유동자산","11,292,455,164","11,124,962,008","7,921,294,611","1,784,188,464","1,861,906,817","1,760,267,722","1,398,293,500","4,956,462,954","5,311,466,915","5,009,390,746","264,130,946","840,848,036"
투자부동산,"자산,비유동자산","5,171,241,771","5,246,500,602","5,579,215,433","5,308,003,868","5,321,050,713","5,334,097,558","5,773,782,403","6,150,747,383","27,976,980,185","43,698,058,771","2,369,046,140","199,303,140"
자산총계,자산,"143,183,788,567","125,126,388,096","109,225,633,024","130,445,154,012","114,344,168,293","118,579,903,045","138,769,481,044","166,000,027,459","207,610,802,157","188,019,457,825","74,491,835,418","76,232,516,809"
부채,,0,0,0,0,0,0,0,0,0,0,0,0
유동부채,부채,"51,244,295,950","36,593,933,717","25,323,796,690","49,551,370,976","42,399,633,790","46,979,480,312","72,695,245,460","69,186,401,316","107,271,314,421","40,311,645,453","10,453,072,583","19,136,549,880"
기타유동금융부채,"부채,유동부채",0,0,0,0,0,0,0,0,0,0,0,
유동파생상품부채,"부채,유동부채,기타유동금융부채",0,0,0,0,0,0,0,0,0,,,
