account_name,ancestors,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
자산,,0,0,0,0,0,0,0,0,0,0,0,0
유동자산,자산,"90,688,711,897","69,776,387,342","60,457,103,154","70,492,532,176","55,752,002,351","48,743,893,894","63,724,419,664","71,866,610,353","93,657,467,712","49,657,406,602","56,759,388,939","56,849,248,352"
기타금융자산,"자산,유동자산",0,0,0,0,0,0,0,0,"25,816,608,525",,,
기타유동금융자산,"자산,유동자산","2,793,509,981","2,480,282,269","2,496,612,727","2,188,183,872","2,291,662,356","2,118,429,840","2,054,151,756","7,664,445,926",0,0,"2,067,340,000","31,260,000"
유동파생상품자산,"자산,유동자산,기타유동금융자산",0,0,0,0,0,0,0,0,0,,,
기타유동자산,"자산,유동자산","2,319,062,551","3,949,620,639","738,595,181","579,306,186","3,404,939,960","2,893,701,967","2,106,933,431","1,534,826,960","2,228,242,855","671,483,784","700,193,889","677,885,340"
당기법인세자산,"자산,유동자산",0,"70,334,460","107,041,910",0,0,"107,983,095",0,0,,"123,420,586",0,"220,563,598"
매각예정또는소유주에대한분배예정으로분류된비유동자산이나처분자산집단,"자산,유동자산",0,0,0,0,0,0,0,0,"6,821,769,139",0,0,
매출채권및기타유동채권,"자산,유동자산","45,661,102,756","36,607,034,748","19,492,095,265","22,684,711,338","28,609,680,713","28,338,197,662","36,365,220,726","42,521,558,138","43,614,766,369","33,604,147,989","17,667,403,684","17,176,871,351"
순확정급여자산,"자산,유동자산",0,0,0,0,0,0,0,0,0,0,,
유동재고자산,"자산,유동자산","20,974,770,526","16,413,564,157","11,110,094,081","9,053,272,494","8,771,886,988","9,948,914,396","15,792,958,320","13,853,915,560","13,989,099,943","12,258,110,835","11,032,967,796","17,476,002,832"
이연법인세자산,"자산,유동자산",0,0,0,0,0,0,0,0,0,0,0,0
파생상품자산,"자산,유동자산",0,0,0,0,0,0,"2,010,000",0,,,,
현금및현금성자산,"자산,유동자산","18,940,266,083","10,255,551,069","26,512,663,990","35,987,058,286","12,673,832,334","5,336,666,934","7,403,145,431","6,291,863,769","1,186,980,881","3,000,243,408","25,291,483,570","21,266,665,231"
비유동자산,자산,"47,714,484,276","50,902,366,708","44,508,973,015","29,049,043,545","31,111,337,317","32,346,394,154","34,175,952,447","59,859,723,999","60,290,868,125","92,299,629,624","16,767,600,808","19,242,256,069"
관계기업에대한투자자산,"자산,비유동자산","11,712,405,184","10,874,207,319","10,578,356,287","4,293,245,478","2,479,856,342","3,046,053,331","1,239,969,902","660,572,000","826,920,000","826,920,000","826,920,000","826,920,000"
기타비유동금융자산,"자산,비유동자산","1,976,871,000","4,045,190,000","866,320,487","583,420,687","304,292,867","1,406,236,256","586,684,004","43,000,000","3,000,000","27,073,063,864","305,500,000","472,840,000"
기타비유동자산,"자산,비유동자산","134,672,733","220,033,390","322,008,629","439,246,459","539,585,400","6,197,435","20,288,695","15,758,797","22,836,595","30,174,281","35,739,354","24,659,894"
사용권자산,"자산,비유동자산","10,614,081,047","12,005,016,643","13,540,377,238","108,449,093","317,932,367",0,0,,,,,
영업권이외의무형자산,"자산,비유동자산","129,255,184","93,715,544","78,805,237","119,285,449","292,936,030","515,231,269","351,568,181","417,335,571","400,199,951","407,898,320","685,744,804","578,993,072"
유형자산,"자산,비유동자산","601,938,031","745,325,499","834,362,398","299,218,928","237,303,358","468,298,515","1,352,451,835","1,332,876,852","1,495,694,061","7,961,809,298","11,839,255,564","14,348,278,927"
이연법인세자산,"자산,비유동자산","5,785,236,895","6,178,449,093","4,121,170,518","4,389,511,330","3,228,132,899","2,936,040,848","1,294,178,876","1,152,347,386","979,426,641","66,439,003",0,0
장기금융기관예치금,"자산,비유동자산",0,0,0,0,0,0,0,0,0,,,
장기매출채권및기타비유동채권,"자산,비유동자산","11,588,782,431","11,493,928,618","8,588,356,788","1,848,227,938","2,868,241,022","2,064,045,588","246,277,607","4,301,430,247","4,551,128,900","4,717,054,050","705,394,946","2,174,500,036"
"종속기업,조인트벤처와관계기업에대한투자자산","자산,비유동자산",0,0,0,0,0,0,0,0,0,0,0,0
종속기업에대한투자자산,"자산,비유동자산",0,0,0,"11,313,963,919","15,113,323,937","16,099,298,986","22,857,561,590","45,634,172,558","45,634,172,558","44,763,522,558",0,"616,761,000"
투자부동산,"자산,비유동자산","5,171,241,771","5,246,500,602","5,579,215,433","5,654,474,264","5,729,733,095","5,804,991,926","6,226,971,757","6,302,230,588","6,377,489,419","6,452,748,250","2,369,046,140","199,303,140"
자산총계,자산,"138,403,196,173","120,678,754,050","104,966,076,169","99,541,575,721","86,863,339,668","81,090,288,048","97,900,372,111","131,726,334,352","153,948,335,837","141,957,036,226","73,526,989,747","76,091,504,421"
부채,,0,0,0,0,0,0,0,0,0,0,0,0
유동부채,부채,"49,262,335,170","33,786,646,851","22,666,430,634","22,184,636,639","13,568,460,880","14,556,883,430","33,331,780,236","33,334,877,136","78,611,125,157","20,228,758,958","9,912,384,896","18,626,514,583"
기타유동금융부채,"부채,유동부채",0,0,0,0,0,0,0,,,,,
기타유동부채,"부채,유동부채","273,240,157","182,046,228","195,465,025","344,722,514","1,280,324,993","613,398,472","581,727,637","857,996,201","1,443,182,282","751,116,743","1,352,687,169","825,029,202"
단기이연수익,"부채,유동부채","683,549,423","814,307,212","972,360,248","877,617,528","352,408,059",0,0,,,,,
당기법인세부채,"부채,유동부채","113,355,070",0,0,,,,"500,050,971","1,160,685,114",0,,,
매입채무및기타유동채무,"부채,유동부채","28,475,707,569","19,851,168,461","8,239,718,864","6,465,702,100","6,235,955,448","10,398,851,698","9,936,032,681","31,316,195,821","77,073,799,952","6,699,151,267","4,748,823,244","14,586,429,132"
단기매입채무,"부채,유동부채,매입채무및기타유동채무",0,0,0,0,0,0,0,0,0,,,
단기차입금,"부채,유동부채,매입채무및기타유동채무",0,0,0,0,0,0,0,0,0,"11,445,490,948","3,169,384,756","3,215,056,249"
유동성당기손익인식금융부채,"부채,유동부채,매입채무및기타유동채무",0,0,0,0,0,0,0,0,,,,
유동성장기차입금,"부채,유동부채,매입채무및기타유동채무",0,0,0,0,0,0,0,0,0,"1,333,000,000",0,0
미지급법인세,"부채,유동부채",0,0,0,"485,589,086","358,664,748",0,,,"94,142,923",0,"641,489,727",0
비유동차입금의유동성대체부분,"부채,유동부채",0,0,"1,530,000,000","540,000,000","1,740,000,000","2,472,720,000","1,872,720,000",,,,,
유동당기손익인식지정금융부채,"부채,유동부채","5,470,090,000",0,0,"10,272,710,000",0,0,"16,566,148,400",,,,,
유동리스부채,"부채,유동부채","1,778,048,139","1,670,532,825","1,995,357,743","114,581,374","218,012,701",0,0,,,,,
유동성사채,"부채,유동부채","5,262,011,348","7,496,405,379","6,572,381,401",0,0,,,,,,,
유동성신주인수권부사채,"부채,유동부채",0,0,0,0,0,0,0,0,0,0,0,0
유동차입금,"부채,유동부채","7,206,333,464","3,772,186,746","3,161,147,353","3,083,714,037","3,383,094,931","1,071,913,260","3,875,100,547",,,,,
파생상품부채,"부채,유동부채",0,0,0,0,0,0,0,0,0,0,,
폐기손실충당부채,"부채,유동부채",0,0,0,0,0,0,0,0,0,0,0,0
비유동부채,부채,"18,576,692,411","20,968,719,072","17,687,009,528","17,686,382,472","11,008,794,508","2,074,644,455","4,662,832,870","18,884,206,632","1,711,968,741","53,566,944,952","5,117,716,074","5,365,921,208"
금융보증부채,"부채,비유동부채","2,500,560,000","2,363,040,000","2,327,220,000","2,034,000,000","2,161,260,000",0,0,,,,,
기타비유동금융부채,"부채,비유동부채",0,0,0,0,0,0,0,"18,556,640,000",0,0,,
비유동당기손익인식금융부채,"부채,비유동부채","3,578,764,000","6,291,780,000",0,0,,,,,,,,
비유동리스부채,"부채,비유동부채","6,442,929,182","6,937,611,663","7,817,531,177",0,"100,902,023",0,0,,,,,
사채,"부채,비유동부채","5,731,087,266","5,033,903,430","6,951,663,730","12,648,216,846","5,828,818,814",0,0,,,,,
사채할인발행차금,"부채,비유동부채",0,0,0,0,"(1,171,181,186)",0,0,,,,,
신주인수권부사채,"부채,비유동부채",0,0,0,0,0,0,0,0,0,"4,499,304,502","4,179,356,141","3,882,159,507"
이연법인세부채,"부채,비유동부채",0,0,0,0,0,0,0,0,0,0,"270,888,595","579,662,122"
장기매입채무및기타비유동채무,"부채,비유동부채",0,"87,000,000","87,000,000",0,0,,"91,843,398","97,075,741",0,"47,314,550","61,454,906","62,049,916"
장기매입채무,"부채,비유동부채,장기매입채무및기타비유동채무",0,0,0,0,0,0,0,0,"48,276,457",,,
장기이연수익,"부채,비유동부채","323,351,963","255,383,979","503,594,621","1,474,165,626","818,773,127",0,0,,,,,
장기차입금,"부채,비유동부채",0,0,0,"1,530,000,000","2,070,000,000","1,942,420,000","4,415,140,020",0,"1,662,666,672","48,667,000,000",0,0
장기폐기손실충당부채,"부채,비유동부채",0,0,0,0,0,0,0,0,0,0,0,0
전환사채,"부채,비유동부채",0,0,0,0,0,0,0,0,0,0,,
퇴직급여부채,"부채,비유동부채",0,0,0,0,"29,040,544","132,224,455","155,849,452","230,490,891","1,025,612","353,325,900","606,016,432","842,049,663"
부채총계,부채,"67,839,027,581","54,755,365,923","40,353,440,162","39,871,019,111","24,577,255,388","16,631,527,885","37,994,613,106","52,219,083,768","80,323,093,898","73,795,703,910","15,030,100,970","23,992,435,791"
자본,,0,0,0,0,0,0,0,0,0,0,0,0
기타자본구성요소,자본,"(1,055,783,441)","(1,055,783,441)","(1,055,783,441)","(1,055,783,441)","(1,055,783,441)","(1,055,783,441)","(1,055,783,441)","(769,549,851)","(365,988,644)","266,290,086","266,290,086",0
기타자본,"자본,기타자본구성요소",0,0,0,0,0,0,0,0,0,0,0,0
기타자본잉여금,"자본,기타자본구성요소",0,0,0,0,0,0,0,0,"245,886,177","878,164,907","878,164,907","878,164,907"
자기주식,"자본,기타자본구성요소",0,0,0,0,0,0,0,"(729,001,934)","(571,326,904)","(571,326,904)","(571,326,904)","(668,357,118)"
자기주식처분손실,"자본,기타자본구성요소",0,0,0,0,0,0,0,"(40,547,917)","(40,547,917)","(40,547,917)","(40,547,917)","(33,586,991)"
자기주식처분이익,"자본,기타자본구성요소",0,0,0,0,0,0,0,0,0,0,0,0
기타포괄손익누계액,자본,"(308,921,172)","584,689,640","773,232,801","373,147,423","516,403,980","172,786,977","397,817,301",0,0,0,0,0
납입자본,자본,0,0,0,0,0,0,0,"37,030,418,452","35,386,935,725","31,169,604,007",,
주식발행초과금,"자본,납입자본",0,0,0,0,0,0,0,"27,796,791,952","26,471,366,725","23,070,273,507","15,797,161,051","10,606,182,370"
이익잉여금,자본,"14,512,380,576","8,977,989,299","7,478,694,018","2,936,699,999","5,408,971,112","10,114,758,218","19,476,299,253","43,246,381,983","38,604,294,858","36,725,438,223","36,247,764,640",0
미처분이익잉여금,"자본,이익잉여금",0,0,0,0,0,0,0,"40,329,183,432","34,837,096,307","31,258,239,672","30,780,566,089","31,570,651,899"
법정적립금,"자본,이익잉여금",0,0,0,0,0,0,0,"517,198,551","517,198,551","517,198,551","517,198,551","391,286,063"
이익준비금,"자본,이익잉여금",0,0,0,0,0,0,0,0,0,0,0,0
임의적립금,"자본,이익잉여금",0,0,0,0,0,0,0,"2,400,000,000","3,250,000,000","4,950,000,000","4,950,000,000","4,200,000,000"
자본금,자본,"15,577,399,000","15,577,399,000","15,577,399,000","15,577,399,000","15,577,399,000","15,577,399,000","9,577,399,000","9,233,626,500","8,915,569,000","8,099,330,500","21,982,834,051","5,154,727,500"
보통주자본금,"자본,납입자본,자본금",0,0,0,0,0,0,0,"9,233,626,500","8,915,569,000","8,099,330,500","6,185,673,000","5,154,727,500"
우선주자본금,"자본,납입자본,자본금",0,0,0,0,0,0,0,0,0,0,0,0
자본잉여금,자본,"41,839,093,629","41,839,093,629","41,839,093,629","41,839,093,629","41,839,093,629","41,839,093,629","31,510,026,892","27,796,791,952","26,471,366,725",,,
자본총계,자본,"70,564,168,592","65,923,388,127","64,612,636,007","59,670,556,610","62,286,084,280","66,648,254,383","59,905,759,005","79,507,250,584","73,625,241,939","68,161,332,316","58,496,888,777","52,099,068,630"
자본과부채총계,,"138,403,196,173","120,678,754,050","104,966,076,169","99,541,575,721","86,863,339,668","83,279,782,268","97,900,372,111","131,726,334,352","153,948,335,837","141,957,036,226","73,526,989,747","76,091,504,421"
